cik|parent_cik|name|ticker|rptOwnerName|rptOwnerCik|isDirector|isOfficer|isTenPercentOwner|isOther|officerTitle|security_title|transaction_date|form_type|code|equity_swap|shares|acquired_disposed_code|shares_owned_following_transaction|direct_or_indirect_ownership|form4_link|open|high|low|close|adj_close|volume|daily_return|percent_change|range|average_price|shares_value_usd
0001818874|1818874|SoFi Technologies, Inc.|SOFI|Webster Aaron|0001862209|0|1|0|0|Chief Risk Officer|Performance Stock Unit|2021-09-01|4|A|0|1026393|A|1026393|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921113093/tm2126991-14_4seq1.xml|14.14|14.69|14.11|14.57|14.57|16856500.0|0.03|3.02|0.58|14.4|14780058.81
0001818874|1818874|SoFi Technologies, Inc.|SOFI|Webster Aaron|0001862209|0|1|0|0|Chief Risk Officer|Performance Stock Unit|2021-09-01|4|A|0|1026393|A|1026393|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921113093/tm2126991-14_4seq1.xml|14.14|14.69|14.11|14.57|14.57|16856500.0|0.03|3.02|0.58|14.4|14780058.81
0001818874|1818874|SoFi Technologies, Inc.|SOFI|Noto Anthony|0001613438|1|1|0|0|Chief Executive Officer|Restricted Stock Unit|2021-12-27|4|M|0|101663|D|6761879|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921154270/tm2136475d1_4seq1.xml|15.11|15.49|14.85|15.39|15.39|19826700.0|0.02|1.85|0.64|15.17|1542227.72
0001818874|1818874|SoFi Technologies, Inc.|SOFI|Noto Anthony|0001613438|1|1|0|0|Chief Executive Officer|Restricted Stock Unit|2021-12-27|4|M|0|101663|D|6761879|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921154270/tm2136475d1_4seq1.xml|15.11|15.49|14.85|15.39|15.39|19826700.0|0.02|1.85|0.64|15.17|1542227.72
0001818874|1818874|SoFi Technologies, Inc.|SOFI|Nuckles Jennifer|0001863186|0|1|0|0|EVP & Group Business Leader|Restricted Stock Unit|2021-08-02|4|M|0|79577|D|899718|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921100307/tm2124205-2_4seq1.xml|15.58|16.32|15.41|15.73|15.73|15097600.0|0.01|0.96|0.91|15.86|1262489.09
0001818874|1818874|SoFi Technologies, Inc.|SOFI|Nuckles Jennifer|0001863186|0|1|0|0|EVP & Group Business Leader|Restricted Stock Unit|2021-08-02|4|M|0|79577|D|899718|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921100307/tm2124205-2_4seq1.xml|15.58|16.32|15.41|15.73|15.73|15097600.0|0.01|0.96|0.91|15.86|1262489.09
0001818874|1818874|SoFi Technologies, Inc.|SOFI|Ronen Assaf|0001863472|0|1|0|0|Chief Product Officer|Restricted Stock Unit|2021-09-14|4|M|0|84148|D|660011|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921116540/tm2127834-8_4seq1.xml|15.02|15.33|14.38|14.5|14.5|24475700.0|-0.03|-3.47|0.95|14.86|1250018.54
0001818874|1818874|SoFi Technologies, Inc.|SOFI|Ronen Assaf|0001863472|0|1|0|0|Chief Product Officer|Restricted Stock Unit|2021-09-14|4|M|0|84148|D|660011|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921116540/tm2127834-8_4seq1.xml|15.02|15.33|14.38|14.5|14.5|24475700.0|-0.03|-3.47|0.95|14.86|1250018.54
0001818874|1818874|SoFi Technologies, Inc.|SOFI|HUTTON GEORGE THOMPSON|0001196460|1|0|0|0||Stock Options (right to buy)|2021-05-28|4|A|0|348560|A|348560|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921075994/tm2118244-9_4seq1.xml|19.77|20.65|19.3|20.15|20.15|5370500.0|0.02|1.92|1.35|19.97|6962485.8
0001818874|1818874|SoFi Technologies, Inc.|SOFI|HUTTON GEORGE THOMPSON|0001196460|1|0|0|0||Stock Options (right to buy)|2021-05-28|4|A|0|174280|A|174280|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921075994/tm2118244-9_4seq1.xml|19.77|20.65|19.3|20.15|20.15|5370500.0|0.02|1.92|1.35|19.97|3481242.9
0001818874|1818874|SoFi Technologies, Inc.|SOFI|HUTTON GEORGE THOMPSON|0001196460|1|0|0|0||Stock Options (right to buy)|2021-05-28|4|A|0|37081|A|37081|D|https://www.sec.gov/Archives/edgar/data/1818874/000110465921075994/tm2118244-9_4seq1.xml|19.77|20.65|19.3|20.15|20.15|5370500.0|0.02|1.92|1.35|19.97|740692.95
