cik|parent_cik|name|ticker|rptOwnerName|rptOwnerCik|isDirector|isOfficer|isTenPercentOwner|isOther|officerTitle|security_title|transaction_date|form_type|code|equity_swap|shares|acquired_disposed_code|shares_owned_following_transaction|direct_or_indirect_ownership|form4_link|open|high|low|close|adj_close|volume|daily_return|percent_change|range|average_price|shares_value_usd
0001326801|1326801|Facebook Inc|FB|Zuckerberg Mark|0001548760|1|1|1|0|COB and CEO|Class B Common Stock|2021-09-22|4|C|0|56000|D|346453686|I|https://www.sec.gov/Archives/edgar/data/1326801/000095010321014422/dp158362_4-zuckerberg0922.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Zuckerberg Mark|0001548760|1|1|1|0|COB and CEO|Class B Common Stock|2021-09-22|4|C|0|6300|D|4574336|I|https://www.sec.gov/Archives/edgar/data/1326801/000095010321014422/dp158362_4-zuckerberg0922.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Zuckerberg Mark|0001548760|1|1|1|0|COB and CEO|Class B Common Stock|2021-09-22|4|C|0|56000|D|346453686|I|https://www.sec.gov/Archives/edgar/data/1326801/000095010321014422/dp158362_4-zuckerberg0922.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Zuckerberg Mark|0001548760|1|1|1|0|COB and CEO|Class B Common Stock|2021-09-22|4|C|0|6300|D|4574336|I|https://www.sec.gov/Archives/edgar/data/1326801/000095010321014422/dp158362_4-zuckerberg0922.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|6191|D|24763|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|6324|D|69569|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|5303|D|63627|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|3851|D|57780|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|4646|D|69697|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|6191|D|24763|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|6324|D|69569|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|5303|D|63627|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|3851|D|57780|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078||1|||Chief Revenue Officer|Restricted Stock Units (RSU) (Class A)|2020-02-15|4|M|0|4646|D|69697|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760220006609/form4.xml|||||||||||
0001326801|1326801|Meta Platforms, Inc.|FB|Newstead Jennifer|0001780525|0|1|0|0|Chief Legal Officer|Restricted Stock Units (RSU) (Class A)|2022-03-21|4|A|0|87524|A|87524|D|https://www.sec.gov/Archives/edgar/data/1326801/000095010322005140/dp169677_4-newstead.xml|||||||||||
0001326801|1326801|Meta Platforms, Inc.|FB|Newstead Jennifer|0001780525|0|1|0|0|Chief Legal Officer|Restricted Stock Units (RSU) (Class A)|2022-03-21|4|A|0|87524|A|87524|D|https://www.sec.gov/Archives/edgar/data/1326801/000095010322005140/dp169677_4-newstead.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078|0|1|0|0|VP Marketing & Bus. Part.|Restricted Stock Unit (RSU)|2013-05-15|4|M|0|117945|D|943580|D|https://www.sec.gov/Archives/edgar/data/1326801/000120919113026613/doc4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078|0|1|0|0|VP Marketing & Bus. Part.|Class B Common Stock|2013-05-15|4|M|0|117945|A|117945|D|https://www.sec.gov/Archives/edgar/data/1326801/000120919113026613/doc4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078|0|1|0|0|VP Marketing & Bus. Part.|Class B Common Stock|2013-05-15|4|F|0|61544|D|56401|D|https://www.sec.gov/Archives/edgar/data/1326801/000120919113026613/doc4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078|0|1|0|0|VP Marketing & Bus. Part.|Class B Common Stock|2013-05-15|4|C|0|56401|D|0|D|https://www.sec.gov/Archives/edgar/data/1326801/000120919113026613/doc4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078|0|1|0|0|VP Marketing & Bus. Part.|Restricted Stock Unit (RSU)|2013-05-15|4|M|0|117945|D|943580|D|https://www.sec.gov/Archives/edgar/data/1326801/000120919113026613/doc4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078|0|1|0|0|VP Marketing & Bus. Part.|Class B Common Stock|2013-05-15|4|M|0|117945|A|117945|D|https://www.sec.gov/Archives/edgar/data/1326801/000120919113026613/doc4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078|0|1|0|0|VP Marketing & Bus. Part.|Class B Common Stock|2013-05-15|4|F|0|61544|D|56401|D|https://www.sec.gov/Archives/edgar/data/1326801/000120919113026613/doc4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|FISCHER DAVID B.|0001549078|0|1|0|0|VP Marketing & Bus. Part.|Class B Common Stock|2013-05-15|4|C|0|56401|D|0|D|https://www.sec.gov/Archives/edgar/data/1326801/000120919113026613/doc4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Restricted Stock Unit (RSU) (Class B)|2015-11-15|4|M|0|86585|D|865845|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Class B Common Stock|2015-11-15|4|M|0|86585|A|86585|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Class B Common Stock|2015-11-15|4|C|0|86585|D|0|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Restricted Stock Unit (RSU) (Class B)|2015-11-15|4|M|0|34122|D|375346|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Class B Common Stock|2015-11-15|4|M|0|34122|A|34122|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Class B Common Stock|2015-11-15|4|C|0|34122|D|0|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Restricted Stock Unit (RSU) (Class B)|2015-11-15|4|M|0|86585|D|865845|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Class B Common Stock|2015-11-15|4|M|0|86585|A|86585|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Class B Common Stock|2015-11-15|4|C|0|86585|D|0|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Restricted Stock Unit (RSU) (Class B)|2015-11-15|4|M|0|34122|D|375346|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Class B Common Stock|2015-11-15|4|M|0|34122|A|34122|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Schroepfer Michael Todd|0001509441||1|||Chief Technology Officer|Class B Common Stock|2015-11-15|4|C|0|34122|D|0|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760215031784/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Cox Christopher K|0001607459||1|||Chief Product Officer|Restricted Stock Units (RSU) (Class A)|2017-05-15|4|M|0|10022|D|110248|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760217018556/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Cox Christopher K|0001607459||1|||Chief Product Officer|Restricted Stock Units (RSU) (Class A)|2017-05-15|4|M|0|8254|D|123816|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760217018556/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Cox Christopher K|0001607459||1|||Chief Product Officer|Restricted Stock Unit (RSU) (Class B)|2017-05-15|4|M|0|86584|D|0|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760217018556/form4.xml|||||||||||
0001326801|1326801|Facebook Inc|FB|Cox Christopher K|0001607459||1|||Chief Product Officer|Class B Common Stock|2017-05-15|4|M|0|86584|A|86584|D|https://www.sec.gov/Archives/edgar/data/1326801/000112760217018556/form4.xml|||||||||||
