cik|parent_cik|name|ticker|rptOwnerName|rptOwnerCik|isDirector|isOfficer|isTenPercentOwner|isOther|officerTitle|security_title|transaction_date|form_type|code|equity_swap|shares|acquired_disposed_code|shares_owned_following_transaction|direct_or_indirect_ownership|form4_link|open|high|low|close|adj_close|volume|daily_return|percent_change|range|average_price|shares_value_usd
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Ferguson Hill|0001644375|0|1|0|0|SVP, Consumer|Restricted Stock Units -6|2015-09-14|4|M|0|16755.0|D|16754|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391715000037/edgardoc.xml|33.7|33.95|33.2|33.77|33.77|7897700.0|0.0|0.21|0.75|33.58|562549.14
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Ferguson Hill|0001644375|0|1|0|0|SVP, Consumer|Restricted Stock Units -6|2015-09-14|4|M|0|16755.0|D|16754|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391715000037/edgardoc.xml|33.7|33.95|33.2|33.77|33.77|7897700.0|0.0|0.21|0.75|33.58|562549.14
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Alford Peggy|0001736236|0|1|0|0|EVP, Global Sales|Restricted Stock Units -3|2022-03-01|4|M|0|8541|D|8540|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391722000063/edgardoc.xml|112.73|112.75|105.56|106.51|106.51|19597700.0|-0.06|-5.52|7.19|109.16|932297.11
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Alford Peggy|0001736236|0|1|0|0|EVP, Global Sales|Restricted Stock Units -4|2022-03-01|4|M|0|5712|D|11423|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391722000063/edgardoc.xml|112.73|112.75|105.56|106.51|106.51|19597700.0|-0.06|-5.52|7.19|109.16|623496.21
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Alford Peggy|0001736236|0|1|0|0|EVP, Global Sales|Restricted Stock Units -5|2022-03-01|4|A|0|36832|A|36832|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391722000063/edgardoc.xml|112.73|112.75|105.56|106.51|106.51|19597700.0|-0.06|-5.52|7.19|109.16|4020415.32
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Alford Peggy|0001736236|0|1|0|0|EVP, Global Sales|Restricted Stock Units -3|2022-03-01|4|M|0|8541|D|8540|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391722000063/edgardoc.xml|112.73|112.75|105.56|106.51|106.51|19597700.0|-0.06|-5.52|7.19|109.16|932297.11
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Alford Peggy|0001736236|0|1|0|0|EVP, Global Sales|Restricted Stock Units -4|2022-03-01|4|M|0|5712|D|11423|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391722000063/edgardoc.xml|112.73|112.75|105.56|106.51|106.51|19597700.0|-0.06|-5.52|7.19|109.16|623496.21
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Alford Peggy|0001736236|0|1|0|0|EVP, Global Sales|Restricted Stock Units -5|2022-03-01|4|A|0|36832|A|36832|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391722000063/edgardoc.xml|112.73|112.75|105.56|106.51|106.51|19597700.0|-0.06|-5.52|7.19|109.16|4020415.32
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Pentland Adele Louise|0001643724|0|1|0|0|SVP, Chief Legal Officer & Sec|Restricted Stock Units -1|2016-05-15|4|M|0|6113.0|D|18337|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391716000165/edgardoc.xml|||||||||||
0001633917|1633917|PayPal Holdings, Inc.|PYPL|Pentland Adele Louise|0001643724|0|1|0|0|SVP, Chief Legal Officer & Sec|Restricted Stock Units -2|2016-05-15|4|M|0|27166.0|D|81498|D|https://www.sec.gov/Archives/edgar/data/1633917/000163391716000165/edgardoc.xml|||||||||||
