cik|parent_cik|name|ticker|rptOwnerName|rptOwnerCik|isDirector|isOfficer|isTenPercentOwner|isOther|officerTitle|security_title|transaction_date|form_type|code|equity_swap|shares|acquired_disposed_code|shares_owned_following_transaction|direct_or_indirect_ownership|form4_link|open|high|low|close|adj_close|volume|daily_return|percent_change|range|average_price|shares_value_usd
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Gallagher Daniel Martin Jr|0001705560|0|1|0|0|Chief Legal Officer|Restricted Stock Units|2021-10-27|4|M|0|22580|D|180646|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387921000063/wf-form4_163555655395988.xml|35.98|36.19|34.44|35.44|35.44|29082800.0|-0.02|-1.5|1.75|35.31|797412.67
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Gallagher Daniel Martin Jr|0001705560|0|1|0|0|Chief Legal Officer|Restricted Stock Units|2021-10-27|4|M|0|19276|D|212039|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387921000063/wf-form4_163555655395988.xml|35.98|36.19|34.44|35.44|35.44|29082800.0|-0.02|-1.5|1.75|35.31|680731.91
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Gallagher Daniel Martin Jr|0001705560|0|1|0|0|Chief Legal Officer|Restricted Stock Units|2021-10-27|4|M|0|83250|D|915761|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387921000063/wf-form4_163555655395988.xml|35.98|36.19|34.44|35.44|35.44|29082800.0|-0.02|-1.5|1.75|35.31|2939973.64
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Gallagher Daniel Martin Jr|0001705560|0|1|0|0|Chief Legal Officer|Restricted Stock Units|2021-10-27|4|M|0|22580|D|180646|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387921000063/wf-form4_163555655395988.xml|35.98|36.19|34.44|35.44|35.44|29082800.0|-0.02|-1.5|1.75|35.31|797412.67
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Gallagher Daniel Martin Jr|0001705560|0|1|0|0|Chief Legal Officer|Restricted Stock Units|2021-10-27|4|M|0|19276|D|212039|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387921000063/wf-form4_163555655395988.xml|35.98|36.19|34.44|35.44|35.44|29082800.0|-0.02|-1.5|1.75|35.31|680731.91
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Gallagher Daniel Martin Jr|0001705560|0|1|0|0|Chief Legal Officer|Restricted Stock Units|2021-10-27|4|M|0|83250|D|915761|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387921000063/wf-form4_163555655395988.xml|35.98|36.19|34.44|35.44|35.44|29082800.0|-0.02|-1.5|1.75|35.31|2939973.64
0001783879|1783879|Robinhood Markets, Inc.|HOOD|RUBINSTEIN JONATHAN|0001209522|1|0|0|0||Restricted Stock Units|2021-09-30|4|A|0|362|A|362|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387921000039/wf-form4_163338106245675.xml|43.13|43.13|41.41|42.08|42.08|3536000.0|-0.02|-2.43|1.72|42.27|15301.74
0001783879|1783879|Robinhood Markets, Inc.|HOOD|RUBINSTEIN JONATHAN|0001209522|1|0|0|0||Restricted Stock Units|2021-09-30|4|A|0|362|A|362|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387921000039/wf-form4_163338106245675.xml|43.13|43.13|41.41|42.08|42.08|3536000.0|-0.02|-2.43|1.72|42.27|15301.74
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Treseder Oluwadara Johnson|0001817425|1|0|0|0||Restricted Stock Units|2022-06-21|4|M|0|1470|D|0|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387922000133/wf-form4_165602567043617.xml|7.35|8.02|7.35|7.55|7.55|19619900.0|0.03|2.72|0.67|7.69|11296.95
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Treseder Oluwadara Johnson|0001817425|1|0|0|0||Restricted Stock Units|2022-06-22|4|A|0|30040|A|30040|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387922000133/wf-form4_165602567043617.xml|7.3|7.73|7.28|7.49|7.49|15371500.0|0.03|2.6|0.45|7.51|225450.2
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Treseder Oluwadara Johnson|0001817425|1|0|0|0||Restricted Stock Units|2022-06-21|4|M|0|1470|D|0|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387922000133/wf-form4_165602567043617.xml|7.35|8.02|7.35|7.55|7.55|19619900.0|0.03|2.72|0.67|7.69|11296.95
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Treseder Oluwadara Johnson|0001817425|1|0|0|0||Restricted Stock Units|2022-06-22|4|A|0|30040|A|30040|D|https://www.sec.gov/Archives/edgar/data/1783879/000178387922000133/wf-form4_165602567043617.xml|7.3|7.73|7.28|7.49|7.49|15371500.0|0.03|2.6|0.45|7.51|225450.2
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series B Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|55055000|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|2017215166.4
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series C Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|5804240|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|212667350.06
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series D Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|492853|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|18058133.62
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series E Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|1521305|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|55740614.27
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series E Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|4486208|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|164374658.38
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series F Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|1600000|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|58623999.02
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Tranche I Convertible Promissory Note|2021-08-02|4|C|0|1449600|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|53113343.12
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Tranche I Convertible Promissory Note|2021-08-02|4|C|0|1449600|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|53113343.12
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series B Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|55055000|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|2017215166.4
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series C Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|5804240|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|212667350.06
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series D Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|492853|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|18058133.62
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series E Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|1521305|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|55740614.27
0001783879|1783879|Robinhood Markets, Inc.|HOOD|Sonsini Peter W.|0001559807|1|0|1|0||Series E Redeemable Convertible Preferred Stock|2021-08-02|4|C|0|4486208|D|0|I|https://www.sec.gov/Archives/edgar/data/1783879/000120919121049434/doc4.xml|35.97|37.98|35.3|37.68|37.68|19948500.0|0.05|4.75|2.68|36.64|164374658.38
